,Plot_Specification,Construction Status,Total Area,Price per Sq ft,Location,city,Builder,BHK,price(in_lakhs)
0,Apartment,Under Construction,1535 ,"4,200 / sq ft",Bowrampet,Hyderabad,Vajra Builders And Developers,3,64.47
1,Apartment,Ready to move,2285 ,"8,000 / sq ft",Kukatpally,Hyderabad,Vasavi Group,3,182.0
2,Apartment,Under Construction,1510 ,"5,800 / sq ft",Jeedimetla,Hyderabad,Riddhi Group,3,87.58
3,Apartment,Under Construction,2655 ,"6,800 / sq ft",Attapur,Hyderabad,Theme Ambience Infrastructures,4,180.0
4,Apartment,Under Construction,2425 ,"4,999 / sq ft",Kollur,Hyderabad,Signature Avenues,3,121.0
5,Apartment,Under Construction,1139 ,"4,800 / sq ft",Dammaiguda,Hyderabad,Srija Infra Developers Hyderabad,2,54.67
6,Apartment,Under Construction,1450 ,"9,310 / sq ft",Kukatpally,Hyderabad,Cyber City Oriana,2,135.0
7,Apartment,Under Construction,1515 ,"4,699 / sq ft",Kompally,Hyderabad,Primark Projects Pvt Ltd,3,71.18
8,Apartment,Under Construction,2294 ,"9,546 / sq ft",Sanath Nagar,Hyderabad,Kalpataru Group,3,219.0
9,Apartment,Under Construction,2195 ,"6,100 / sq ft",Sainikpuri,Hyderabad,Om Sree Builders And Developers,3,133.0
10,Apartment,Under Construction,2000 ,"3,499 / sq ft",Kollur,Hyderabad,GSR Group,3,69.98
11,Apartment,Under Construction,2187 ,"4,999 / sq ft",Mallapur,Hyderabad,EAPL Group,3,109.0
12,Apartment,Under Construction,1105 ,"4,900 / sq ft",Ameenpur,Hyderabad,Lalitha Construction and Developers,2,54.14
13,Apartment,Under Construction,1116 ,"4,200 / sq ft",Gundlapochampally,Hyderabad,Eco Green Builders,2,46.87
14,Apartment,Under Construction,2160 ,"5,500 / sq ft",Kompally,Hyderabad,Sunder Homes,3,118.0
15,Villa,Under Construction,9000 ,"10,334 / sq ft",Harshaguda,Hyderabad,Nest Makers,5,930.0
16,Apartment,Under Construction,1195 ,"5,199 / sq ft",Kollur,Hyderabad,GHR Infra,2,62.12
17,Apartment,Under Construction,1039 ,"4,804 / sq ft",Bachupally,Hyderabad,Dinesh Projects,2,49.86
18,Apartment,Under Construction,1285 ,"5,799 / sq ft",Patighanpur,Hyderabad,Hallmark Builders,2,74.51
19,Apartment,Under Construction,1705 ,"6,000 / sq ft",Saidabad,Hyderabad,Namishree Infrastructure And Project Pvt Ltd,3,102.0
20,Apartment,Under Construction,1870 ,"6,500 / sq ft",Nizampet,Hyderabad,Vazhraa Nirmaan Pvt Ltd,3,121.0
21,Apartment,Under Construction,1595 ,"4,998 / sq ft",Kollur,Hyderabad,Ira Reality,3,79.71
22,Apartment,Under Construction,1710 ,"7,599 / sq ft",Nanakramguda,Hyderabad,Sukhii Group,3,129.0
23,Apartment,Under Construction,1745 ,"5,599 / sq ft",Nizampet,Hyderabad,Merlion Builders,3,97.7
24,Apartment,Under Construction,1573 ,"8,264 / sq ft",Tellapur,Hyderabad,My Home Constructions Pvt Ltd,2,130.0
25,Apartment,Under Construction,2440 ,"6,899 / sq ft",Attapur,Hyderabad,Shree Vasavi Developers,3,168.0
26,Apartment,Under Construction,1275 ,"4,200 / sq ft",Bowrampet,Hyderabad,Vajra Builders And Developers,2,53.55
27,Apartment,Ready to move,2830 ,"8,000 / sq ft",Kukatpally,Hyderabad,Vasavi Group,3,226.0
28,Apartment,Under Construction,1975 ,"5,800 / sq ft",Jeedimetla,Hyderabad,Riddhi Group,3,114.0
29,Apartment,Under Construction,2170 ,"6,800 / sq ft",Attapur,Hyderabad,Theme Ambience Infrastructures,3,147.0
30,Apartment,Under Construction,1385 ,"4,999 / sq ft",Kollur,Hyderabad,Signature Avenues,2,69.23
31,Apartment,Under Construction,1121 ,"4,800 / sq ft",Dammaiguda,Hyderabad,Srija Infra Developers Hyderabad,2,53.8
32,Apartment,Under Construction,1550 ,"10,322 / sq ft",Kukatpally,Hyderabad,Cyber City Oriana,3,160.0
33,Apartment,Under Construction,1225 ,"4,699 / sq ft",Kompally,Hyderabad,Primark Projects Pvt Ltd,2,57.56
34,Apartment,Under Construction,2294 ,"9,546 / sq ft",Sanath Nagar,Hyderabad,Kalpataru Group,3,219.0
35,Apartment,Under Construction,2130 ,"6,100 / sq ft",Sainikpuri,Hyderabad,Om Sree Builders And Developers,3,129.0
36,Apartment,Under Construction,1275 ,"3,499 / sq ft",Kollur,Hyderabad,GSR Group,2,44.61
37,Apartment,Under Construction,1017 ,"5,003 / sq ft",Mallapur,Hyderabad,EAPL Group,2,50.83
38,Villa,Under Construction,2377 ,"7,067 / sq ft",Bachupally,Hyderabad,Maaruthi GroupAGENT0,3,168.0
39,Apartment,Under Construction,1200 ,"2,583 / sq ft",Shamirpet,Hyderabad,sellerVERIFIED OWNER,2,31.0
40,Apartment,Ready to move,1100 ,"4,545 / sq ft",Nagole,Hyderabad,sellerVERIFIED OWNER,2,50.0
41,Apartment,Ready to move,1230 ,"4,715 / sq ft",Pragathi Nagar Kukatpally,Hyderabad,sellerVERIFIED OWNER,2,58.0
42,Apartment,Ready to move,1398 ,"7,081 / sq ft",Nanakramguda,Hyderabad,sellerVERIFIED OWNER,1,99.0
43,Independent,Ready to move,6122 ,"5,717 / sq ft",Meerpet,Hyderabad,sellerVERIFIED OWNER,10,350.0
44,Independent,Ready to move,981 ,"8,664 / sq ft",Bahadurpura,Hyderabad,sellerVERIFIED OWNER,3,85.0
45,Apartment,Ready to move,1000 ,"4,900 / sq ft",LB Nagar,Hyderabad,sellerVERIFIED OWNER,2,49.0
46,Apartment,Under Construction,1148 ,"5,200 / sq ft",Bachupally,Hyderabad,sellerVERIFIED OWNER,2,59.69
47,Apartment,Under Construction,2000 ,"4,500 / sq ft",Upparpally,Hyderabad,sellerVERIFIED OWNER,4,90.0
48,Apartment,Ready to move,1600 ,"5,250 / sq ft",Gajulramaram Kukatpally,Hyderabad,sellerVERIFIED OWNER,3,84.0
49,Apartment,Ready to move,1145 ,"5,240 / sq ft",Boduppal,Hyderabad,sellerVERIFIED OWNER,2,60.0
50,Apartment,Under Construction,1220 ,"5,700 / sq ft",Hafeezpet,Hyderabad,sellerVERIFIED OWNER,2,69.54
51,Independent,Under Construction,2400 ,"6,041 / sq ft",Aminpur,Hyderabad,sellerVERIFIED OWNER,3,145.0
52,Apartment,Under Construction,1210 ,"4,008 / sq ft",Narapally,Hyderabad,sellerVERIFIED OWNER,3,48.5
